id,doi,originalTitle,title,authorString,authorAffiliations,journalTitle,pubYear,isOpenAccess,keywords,nationalPriorities,healthCategories,abstract,urls
31756303,https://doi.org/10.1161/circgen.119.002711,Genetic Determinants of Lipids and Cardiovascular Disease Outcomes: A Wide-Angled Mendelian Randomization Investigation.,Genetic Determinants of Lipids and Cardiovascular Disease Outcomes: A Wide-Angled Mendelian Randomization Investigation.,"Allara E, Morani G, Carter P, Gkatzionis A, Zuber V, Foley CN, Rees JMB, Mason AM, Bell S, Gill D, Lindström S, Butterworth AS, Di Angelantonio E, Peters J, Burgess S, INVENT consortium.",,Circulation. Genomic and precision medicine,2019,Y,Lipids; Aortic valve stenosis; epidemiology; Venous Thromboembolism; Mendelian Randomization,,,"BACKGROUND:Evidence from randomized trials has shown that therapies that lower LDL (low-density lipoprotein)-cholesterol and triglycerides reduce coronary artery disease (CAD) risk. However, there is still uncertainty about their effects on other cardiovascular outcomes. We therefore performed a systematic investigation of causal relationships between circulating lipids and cardiovascular outcomes using a Mendelian randomization approach. METHODS:In the primary analysis, we performed 2-sample multivariable Mendelian randomization using data from participants of European ancestry. We also conducted univariable analyses using inverse-variance weighted and robust methods, and gene-specific analyses using variants that can be considered as proxies for specific lipid-lowering medications. We obtained associations with lipid fractions from the Global Lipids Genetics Consortium, a meta-analysis of 188 577 participants, and genetic associations with cardiovascular outcomes from 367 703 participants in UK Biobank. RESULTS:For LDL-cholesterol, in addition to the expected positive associations with CAD risk (odds ratio [OR] per 1 SD increase, 1.45 [95% CI, 1.35-1.57]) and other atheromatous outcomes (ischemic cerebrovascular disease and peripheral vascular disease), we found independent associations of genetically predicted LDL-cholesterol with abdominal aortic aneurysm (OR, 1.75 [95% CI, 1.40-2.17]) and aortic valve stenosis (OR, 1.46 [95% CI, 1.25-1.70]). Genetically predicted triglyceride levels were positively associated with CAD (OR, 1.25 [95% CI, 1.12-1.40]), aortic valve stenosis (OR, 1.29 [95% CI, 1.04-1.61]), and hypertension (OR, 1.17 [95% CI, 1.07-1.27]), but inversely associated with venous thromboembolism (OR, 0.79 [95% CI, 0.67-0.93]) and hemorrhagic stroke (OR, 0.78 [95% CI, 0.62-0.98]). We also found positive associations of genetically predicted LDL-cholesterol and triglycerides with heart failure that appeared to be mediated by CAD. CONCLUSIONS:Lowering LDL-cholesterol is likely to prevent abdominal aortic aneurysm and aortic stenosis, in addition to CAD and other atheromatous cardiovascular outcomes. Lowering triglycerides is likely to prevent CAD and aortic valve stenosis but may increase thromboembolic risk.",doi:https://doi.org/10.1161/CIRCGEN.119.002711; html:https://europepmc.org/articles/PMC6922071; pdf:https://europepmc.org/articles/PMC6922071?pdf=render
31446406,https://doi.org/10.1136/bmjopen-2018-027577,Global health competencies in UK postgraduate medical training: a scoping review and curricular content analysis,Global health competencies in UK postgraduate medical training: a scoping review and curricular content analysis.,"Al-Shakarchi N, Obolensky L, Walpole S, Hemingway H, Banerjee A.",,BMJ open,2019,Y,Global Health; Competencies; Postgraduate Medical Training,,,"OBJECTIVE:To assess global health (GH) training in all postgraduate medical education in the UK. DESIGN:Mixed methodology: scoping review and curricular content analysis using two GH competency frameworks. SETTING AND PARTICIPANTS:A scoping review (until December 2017) was used to develop a framework of GH competencies for doctors. National postgraduate medical training curricula were analysed against this and a prior framework for GH competencies. The number of core competencies addressed and/or appearing in each programme was recorded. OUTCOMES:The scoping review identified eight relevant publications. A 16-competency framework was developed and, with a prior 5-competency framework, used to analyse each of 71 postgraduate medical curricula. Curricula were examined by a team of researchers and relevant learning outcomes were coded as one of the 5 or 16 core competencies. The number of core competencies in each programme was recorded. RESULTS:Using the 5-competency and 16-competency frameworks, 23 and 20, respectively, out of 71 programmes contained no global health competencies, most notably the Foundation Programme (equivalent to internship), a compulsory programme for UK medical graduates. Of a possible 16 competencies, the mean number across all 71 programmes was 1.73 (95% CI 1.42 to 2.04) and the highest number were in paediatrics and infectious diseases, each with five competencies. Of the 16 core competencies, global burden of disease and socioeconomic determinants of health were the two most cited with 47 and 35 citations, respectively. 8/16 competencies were not cited in any curriculum. CONCLUSIONS:Equity of care and the challenges of practising in an increasingly globalised world necessitate GH competencies for all doctors. Across the whole of postgraduate training, the majority of UK doctors are receiving minimal or no training in GH. Our GH competency framework can be used to map and plan integration across postgraduate programmes.",doi:https://doi.org/10.1136/bmjopen-2018-027577; html:https://europepmc.org/articles/PMC6720244; pdf:https://europepmc.org/articles/PMC6720244?pdf=render
31658860,https://doi.org/10.1161/jaha.119.012812,Early Discontinuation of P2Y12 Antagonists and Adverse Clinical Events Post-Percutaneous Coronary Intervention: A Hospital and Primary Care Linked Cohort,Early Discontinuation of P2Y12 Antagonists and Adverse Clinical Events Post-Percutaneous Coronary Intervention: A Hospital and Primary Care Linked Cohort.,"Harris DE, Lacey A, Akbari A, Obaid DR, Smith DA, Jenkins GH, Barry JP, Gravenor MB, Halcox JP.",,Journal of the American Heart Association,2019,Y,Adherence; Percutaneous coronary intervention; Clopidogrel; Discontinuation; Discharge Therapy,"Improving Public Health, Understanding the Causes of Disease",,"Background Early discontinuation of P2Y12 antagonists post-percutaneous coronary intervention may increase risk of stent thrombosis or nonstent recurrent myocardial infarction. Our aims were to (1) analyze the early discontinuation rate of P2Y12 antagonists post-percutaneous coronary intervention, (2) explore factors associated with early discontinuation, and (3) analyze the risk of major adverse cardiovascular events (death, acute coronary syndrome, revascularization, or stroke) associated with discontinuation from a prespecified prescribing instruction of 1 year. Method and Results We studied 2090 patients (2011-2015) who were recommended for clopidogrel for 12 months (+aspirin) post-percutaneous coronary intervention within a retrospective observational population cohort. Relationships between clopidogrel discontinuation and major adverse cardiac events were evaluated over 18-month follow-up. Discontinuation of clopidogrel in the first 4 quarters was low at 1.1%, 2.6%, 3.7%, and 6.1%, respectively. Previous revascularization, previous ischemic stroke, and age >80 years were independent predictors of early discontinuation. In a time-dependent multiple regression model, clopidogrel discontinuation and bleeding (hazard ratio=1.82 [1.01-3.30] and hazard ratio=5.30 [3.14-8.94], respectively) were independent predictors of major adverse cardiac events as were age <49 and ≥70 years (versus those aged 50-59 years), hypertension, chronic kidney disease stage 4+, previous revascularization, ischemic stroke, and thromboembolism. Furthermore, in those with both bleeding and clopidogrel discontinuation, hazard ratio for major adverse cardiac events was 9.34 (3.39-25.70). Conclusions Discontinuation of clopidogrel is low in the first year post-percutaneous coronary intervention, where a clear discharge instruction to treat for 1 year is provided. Whereas this is reassuring from the population level, at an individual level discontinuation earlier than the intended duration is associated with an increased rate of adverse events, most notably in those with both bleeding and discontinuation.",doi:https://doi.org/10.1161/JAHA.119.012812; html:https://europepmc.org/articles/PMC6898825; pdf:https://europepmc.org/articles/PMC6898825?pdf=render
31479209,https://doi.org/10.1056/nejmoa1907096,A Genotype-Guided Strategy for Oral P2Y12 Inhibitors in Primary PCI,A Genotype-Guided Strategy for Oral P2Y12 Inhibitors in Primary PCI.,"Claassens DMF, Vos GJA, Bergmeijer TO, Hermanides RS, van 't Hof AWJ, van der Harst P, Barbato E, Morisco C, Tjon Joe Gin RM, Asselbergs FW, Mosterd A, Herrman JR, Dewilde WJM, Janssen PWA, Kelder JC, Postma MJ, de Boer A, Boersma C, Deneer VHM, Ten Berg JM.",,The New England journal of medicine,2019,N,,Better Care,cardiovascular,"BACKGROUND:It is unknown whether patients undergoing primary percutaneous coronary intervention (PCI) benefit from genotype-guided selection of oral P2Y12 inhibitors. METHODS:We conducted a randomized, open-label, assessor-blinded trial in which patients undergoing primary PCI with stent implantation were assigned in a 1:1 ratio to receive either a P2Y12 inhibitor on the basis of early CYP2C19 genetic testing (genotype-guided group) or standard treatment with either ticagrelor or prasugrel (standard-treatment group) for 12 months. In the genotype-guided group, carriers of CYP2C19*2 or CYP2C19*3 loss-of-function alleles received ticagrelor or prasugrel, and noncarriers received clopidogrel. The two primary outcomes were net adverse clinical events - defined as death from any cause, myocardial infarction, definite stent thrombosis, stroke, or major bleeding defined according to Platelet Inhibition and Patient Outcomes (PLATO) criteria - at 12 months (primary combined outcome; tested for noninferiority, with a noninferiority margin of 2 percentage points for the absolute difference) and PLATO major or minor bleeding at 12 months (primary bleeding outcome). RESULTS:For the primary analysis, 2488 patients were included: 1242 in the genotype-guided group and 1246 in the standard-treatment group. The primary combined outcome occurred in 63 patients (5.1%) in the genotype-guided group and in 73 patients (5.9%) in the standard-treatment group (absolute difference, -0.7 percentage points; 95% confidence interval [CI], -2.0 to 0.7; P<0.001 for noninferiority). The primary bleeding outcome occurred in 122 patients (9.8%) in the genotype-guided group and in 156 patients (12.5%) in the standard-treatment group (hazard ratio, 0.78; 95% CI, 0.61 to 0.98; P = 0.04). CONCLUSIONS:In patients undergoing primary PCI, a CYP2C19 genotype-guided strategy for selection of oral P2Y12 inhibitor therapy was noninferior to standard treatment with ticagrelor or prasugrel at 12 months with respect to thrombotic events and resulted in a lower incidence of bleeding. (Funded by the Netherlands Organization for Health Research and Development; POPular Genetics ClinicalTrials.gov number, NCT01761786; Netherlands Trial Register number, NL2872.).",doi:https://doi.org/10.1056/NEJMoa1907096
31115347,https://doi.org/10.2196/12412,Health data processes: A framework for analyzing and discussing efficient use and reuse of health data with a focus on patient-reported outcome measures,Health Data Processes: A Framework for Analyzing and Discussing Efficient Use and Reuse of Health Data With a Focus on Patient-Reported Outcome Measures.,"Hjollund NHI, Valderas JM, Kyte D, Calvert MJ.",,Journal of medical Internet research,2019,Y,Data collection; Medical Informatics; Patient-physician Relationship; Patient-reported Outcome,,,"The collection and use of patient health data are central to any kind of activity in the health care system. These data may be produced during routine clinical processes or obtained directly from the patient using patient-reported outcome (PRO) measures. Although efficiency and other reasons justify data availability for a range of potentially relevant uses, these data are nearly always collected for a single specific purpose. The health care literature reflects this narrow scope, and there is limited literature on the joint use of health data for daily clinical use, clinical research, surveillance, and administrative purposes. The aim of this paper is to provide a framework for discussing the efficient use of health data with a specific focus on the role of PRO measures. PRO data may be used at an individual patient level to inform patient care or shared decision making and to tailor care to individual needs or group-level needs as a complement to health record data, such as that on mortality and readmission, in order to inform service delivery and measure the real-world effectiveness of treatment. PRO measures may be used either for their own sake, to provide valuable information from the patient perspective, or as a proxy for clinical data that would otherwise not be feasible to collect. We introduce a framework to analyze any health care activity that involves health data. The framework consists of four data processes (patient identification, data collection, data aggregation and data use), further structured into two dichotomous dimensions in each data process (level: group vs patient; timeframe: ad hoc vs systematic). This framework is used to analyze various health activities with respect to joint use of data, considering the technical, legal, organizational, and logistical challenges that characterize each data process. Finally, we propose a model for joint use of health data with data collected during follow-up as a base. Demands for health data will continue to increase, which will further add to the need for the concerted use and reuse of PRO data for parallel purposes. Repeated and uncoordinated PRO data collection for the same patient for different purposes results in misuse of resources for the patient and the health care system as well as reduced response rates owing to questionnaire fatigue. PRO data can be routinely collected both at the hospital (from inpatients as well as outpatients) and outside of hospital settings; in primary or social care settings; or in the patient's home, provided the health informatics infrastructure is in place. In the future, clinical settings are likely to be a prominent source of PRO data; however, we are also likely to see increased remote collection of PRO data by patients in their own home (telePRO). Data collection for research and quality surveillance will have to adapt to this circumstance and adopt complementary data capture methods that take advantage of the utility of PRO data collected during daily clinical practice. The European Union's regulation with respect to the protection of personal data-General Data Protection Regulation-imposes severe restrictions on the use of health data for parallel purposes, and steps should be taken to alleviate the consequences while still protecting personal data against misuse.",doi:https://doi.org/10.2196/12412; html:https://europepmc.org/articles/PMC6547770
31160290,https://doi.org/10.1128/aac.00400-19,Improved Performance Predicting Clarithromycin Resistance in Mycobacterium abscessus on an Independent Data Set.,Improved Performance Predicting Clarithromycin Resistance in Mycobacterium abscessus on an Independent Data Set.,"Lipworth S, Hough N, Buchanan R, Smith EG, Robinson E, Alexander E, Peto T, Crook D, Walker T.",,Antimicrobial agents and chemotherapy,2019,N,Macrolides; Nontuberculous Mycobacteria; Mycobacterium Abscessus; Whole-genome Sequencing,,cancer and neoplasms,,doi:https://doi.org/10.1128/AAC.00400-19; html:https://europepmc.org/articles/PMC6658746; pdf:https://europepmc.org/articles/PMC6658746?pdf=render; doi:https://doi.org/10.1128/aac.00400-19
31827124,https://doi.org/10.1038/s41598-019-54849-w,Improving the odds of drug development success through human genomics: modelling study,Improving the odds of drug development success through human genomics: modelling study.,"Hingorani AD, Kuan V, Finan C, Kruger FA, Gaulton A, Chopade S, Sofat R, MacAllister RJ, Overington JP, Hemingway H, Denaxas S, Prieto D, Casas JP.",,Scientific reports,2019,Y,,,,"Lack of efficacy in the intended disease indication is the major cause of clinical phase drug development failure. Explanations could include the poor external validity of pre-clinical (cell, tissue, and animal) models of human disease and the high false discovery rate (FDR) in preclinical science. FDR is related to the proportion of true relationships available for discovery (γ), and the type 1 (false-positive) and type 2 (false negative) error rates of the experiments designed to uncover them. We estimated the FDR in preclinical science, its effect on drug development success rates, and improvements expected from use of human genomics rather than preclinical studies as the primary source of evidence for drug target identification. Calculations were based on a sample space defined by all human diseases - the 'disease-ome' - represented as columns; and all protein coding genes - 'the protein-coding genome'- represented as rows, producing a matrix of unique gene- (or protein-) disease pairings. We parameterised the space based on 10,000 diseases, 20,000 protein-coding genes, 100 causal genes per disease and 4000 genes encoding druggable targets, examining the effect of varying the parameters and a range of underlying assumptions, on the inferences drawn. We estimated γ, defined mathematical relationships between preclinical FDR and drug development success rates, and estimated improvements in success rates based on human genomics (rather than orthodox preclinical studies). Around one in every 200 protein-disease pairings was estimated to be causal (γ = 0.005) giving an FDR in preclinical research of 92.6%, which likely makes a major contribution to the reported drug development failure rate of 96%. Observed success rate was only slightly greater than expected for a random pick from the sample space. Values for γ back-calculated from reported preclinical and clinical drug development success rates were also close to the a priori estimates. Substituting genome wide (or druggable genome wide) association studies for preclinical studies as the major information source for drug target identification was estimated to reverse the probability of late stage failure because of the more stringent type 1 error rate employed and the ability to interrogate every potential druggable target in the same experiment. Genetic studies conducted at much larger scale, with greater resolution of disease end-points, e.g. by connecting genomics and electronic health record data within healthcare systems has the potential to produce radical improvement in drug development success rate.",doi:https://doi.org/10.1038/s41598-019-54849-w; html:https://europepmc.org/articles/PMC6906499; pdf:https://europepmc.org/articles/PMC6906499?pdf=render
32095773,https://doi.org/10.1159/000503957,Advancing the Use of Mobile Technologies in Clinical Trials: Recommendations from the Clinical Trials Transformation Initiative.,Advancing the Use of Mobile Technologies in Clinical Trials: Recommendations from the Clinical Trials Transformation Initiative.,"Coran P, Goldsack JC, Grandinetti CA, Bakker JP, Bolognese M, Dorsey ER, Vasisht K, Amdur A, Dell C, Helfgott J, Kirchoff M, Miller CJ, Narayan A, Patel D, Peterson B, Ramirez E, Schiller D, Switzer T, Wing L, Forrest A, Doherty A.",,Digital biomarkers,2019,N,Clinical Trials; Regulatory Approval; Wearable Sensors; Mobile Technologies,"Better, Faster and More Efficient Clinical Trials",,"Mobile technologies offer the potential to reduce the costs of conducting clinical trials by collecting high-quality information on health outcomes in real-world settings that are relevant to patients and clinicians. However, widespread use of mobile technologies in clinical trials has been impeded by their perceived challenges. To advance solutions to these challenges, the Clinical Trials Transformation Initiative (CTTI) has issued best practices and realistic approaches that clinical trial sponsors can now use. These include CTTI recommendations on technology selection; data collection, analysis, and interpretation; data management; protocol design and execution; and US Food and Drug Administration submission and inspection. The scientific principles underpinning the clinical trials enterprise continue to apply to studies using mobile technologies. These recommendations provide a framework for including mobile technologies in clinical trials that can lead to more efficient assessment of new therapies for patients.",doi:https://doi.org/10.1159/000503957; html:https://europepmc.org/articles/PMC7011727; pdf:https://europepmc.org/articles/PMC7011727?pdf=render; doi:https://doi.org/10.1159/000503957
31607442,https://doi.org/10.1016/j.injury.2019.09.036,Over view of major traumatic injury in Australia––Implications for trauma system design,Over view of major traumatic injury in Australia--Implications for trauma system design.,"Cameron PA, Fitzgerald MC, Curtis K, McKie E, Gabbe B, Earnest A, Christey G, Clarke C, Crozier J, Dinh M, Ellis DY, Howard T, Joseph AP, McDermott K, Matthew J, Ogilvie R, Pollard C, Rao S, Reade M, Rushworth N, Zalstein S, Australian Trauma Quality Improvement Program (AusTQIP) collaboration.",,Injury,2020,N,Quality improvement; epidemiology; Older Adults; Risk Adjustment; Trauma System; Major Trauma; System Of Care; Trauma Registries; Injury Burden,Improving Public Health,,"BACKGROUND:Trauma registries are known to drive improvements and optimise trauma systems worldwide. This is the first reported comparison of the epidemiology and outcomes at major centres across Australia. METHODS:The Australian Trauma Registry was a collaboration of 26 major trauma centres across Australia at the time of this study and currently collects information on patients admitted to these centres who die after injury and/or sustain major trauma (Injury Severity Score (ISS) > 12). Data from 1 July 2016 to 30 June 2017 were analysed. Primary endpoints were risk adjusted length of stay and mortality (adjusted for age, cause of injury, arrival Glasgow coma scale (GCS), shock-index grouped in quartiles and ISS). RESULTS:There were 8423 patients from 24 centres included. The median age (IQR) was 48 (28-68) years. Median (IQR) ISS was 17 (14-25). There was a predominance of males (72%) apart from the extremes of age. Transport-related cases accounted for 45% of major trauma, followed by falls (35.1%). Patients took 1.42 (1.03-2.12) h to reach hospital and spent 7.10 (3.64-15.00) days in hospital. Risk adjusted length of stay and mortality did not differ significantly across sites. Primary endpoints across sites were also similar in paediatric and older adult (>65) age groups. CONCLUSION:Australia has the capability to identify national injury trends to target prevention and reduce the burden of injury. Quality of care following injury can now be benchmarked across Australia and with the planned enhancements to data collection and reporting, this will enable improved management of trauma victims.",doi:https://doi.org/10.1016/j.injury.2019.09.036
,https://doi.org/,Could greater physical activity reduce population prevalence and socio-economic inequalities in children’s mental health problems? A policy simulation,Could greater physical activity reduce population prevalence and socio-economic inequalities in children’s mental health problems? A policy simulation,,,No Journal Info,,,,Improving Public Health,,,
31566668,https://doi.org/10.1093/ageing/afz110,External validation of the electronic Frailty Index using the population of Wales within the Secure Anonymised Information Linkage Databank,External validation of the electronic Frailty Index using the population of Wales within the Secure Anonymised Information Linkage Databank.,"Hollinghurst J, Fry R, Akbari A, Clegg A, Lyons RA, Watkins A, Rodgers SE.",,Age and ageing,2019,Y,Frailty; Older People; Primary Care; Electronic Health Record; Cumulative Deficit; Electronic Frailty Index,Improving Public Health,,"BACKGROUND:frailty has major implications for health and social care services internationally. The development, validation and national implementation of the electronic Frailty Index (eFI) using routine primary care data has enabled change in the care of older people living with frailty in England. AIMS:to externally validate the eFI in Wales and assess new frailty-related outcomes. STUDY DESIGN AND SETTING:retrospective cohort study using the Secure Anonymised Information Linkage (SAIL) Databank, comprising 469,000 people aged 65-95, registered with a SAIL contributing general practice on 1 January 2010. METHODS:four categories (fit; mild; moderate and severe) of frailty were constructed using recognised cut points from the eFI. We calculated adjusted hazard ratios (HRs) from Cox regression models for validation of existing outcomes: 1-, 3- and 5-year mortality, hospitalisation, and care home admission for validation. We also analysed, as novel outcomes, 1-year mortality following hospitalisation and frailty transition times. RESULTS:HR trends for the validation outcomes in SAIL followed the original results from ResearchOne and THIN databases. Relative to the fit category, adjusted HRs in SAIL (95% CI) for 1-year mortality following hospitalisation were 1.05 (95% CI 1.03-1.08) for mild frailty, 1.24 (95% CI 1.21-1.28) for moderate frailty and 1.51 (95% CI 1.45-1.57) for severe frailty. The median time (lower and upper quartile) between frailty categories was 2,165 days (lower and upper quartiles: 1,510 and 2,831) from fit to mild, 1,155 days (lower and upper quartiles: 756 and 1,610) from mild to moderate and 898 days (lower and upper quartiles: 584 and 1,275) from moderate to severe. CONCLUSIONS:further validation of the eFI showed robust predictive validity and utility for new outcomes.",doi:https://doi.org/10.1093/ageing/afz110; html:https://europepmc.org/articles/PMC6814149; pdf:https://europepmc.org/articles/PMC6814149?pdf=render
31196949,https://doi.org/10.1183/13993003.02309-2018,"Educational and Health Outcomes of Children Treated for Type 1 Diabetes: Scotland-Wide Record Linkage Study of 766,047 Children",Educational and health outcomes of children treated for asthma: Scotland-wide record linkage study of 683 716 children.,"Fleming M, Fitton CA, Steiner MFC, McLay JS, Clark D, King A, Mackay DF, Pell JP.",,The European respiratory journal,2019,Y,,Improving Public Health,,"BACKGROUND:The global prevalence of childhood asthma is increasing. The condition impacts physical and psychosocial morbidity; therefore, wide-ranging effects on health and education outcomes are plausible. METHODS:Linkage of eight Scotland-wide databases, covering dispensed prescriptions, hospital admissions, maternity records, death certificates, annual pupil census, examinations, school absences/exclusions and unemployment, provided data on 683 716 children attending Scottish schools between 2009 and 2013. We compared schoolchildren on medication for asthma with peers, adjusting for sociodemographic, maternity and comorbidity confounders, and explored effect modifiers and mediators. RESULTS:The 45 900 (6.0%) children treated for asthma had an increased risk of hospitalisation, particularly within the first year of treatment (incidence rate ratio 1.98, 95% CI 1.93-2.04), and increased mortality (HR 1.77, 95% CI 1.30-2.40). They were more likely to have special educational need for mental (OR 1.76, 95% CI 1.49-2.08) and physical (OR 2.76, 95% CI 2.57-2.95) health reasons, and performed worse in school exams (OR 1.11, 95% CI 1.06-1.16). Higher absenteeism (incidence rate ratio 1.25, 95% CI 1.24-1.26) partially explained their poorer attainment. CONCLUSIONS:Children with treated asthma have poorer education and health outcomes than their peers. Educational interventions that mitigate the adverse effects of absenteeism should be considered.",doi:https://doi.org/10.1183/13993003.02309-2018; html:https://europepmc.org/articles/PMC6727030; pdf:https://europepmc.org/articles/PMC6727030?pdf=render
31532828,https://doi.org/10.1210/clinem/dgz006,Increased Infection Risk in Addison’s Disease and Congenital Adrenal Hyperplasia,Increased Infection Risk in Addison's Disease and Congenital Adrenal Hyperplasia.,"Tresoldi AS, Sumilo D, Perrins M, Toulis KA, Prete A, Reddy N, Wass JAH, Arlt W, Nirantharakumar K.",,The Journal of clinical endocrinology and metabolism,2020,Y,,,,"CONTEXT:Mortality and infection-related hospital admissions are increased in patients with primary adrenal insufficiency (PAI). However, the risk of primary care-managed infections in patients with PAI is unknown. OBJECTIVE:To estimate infection risk in PAI due to Addison's disease (AD) and congenital adrenal hyperplasia (CAH) in a primary care setting. DESIGN:Retrospective cohort study using UK data collected from 1995 to 2018. MAIN OUTCOME MEASURES:Incidence of lower respiratory tract infections (LRTIs), urinary tract infections (UTIs), gastrointestinal infections (GIIs), and prescription counts of antimicrobials in adult PAI patients compared to unexposed controls. RESULTS:A diagnosis of PAI was established in 1580 AD patients (mean age 51.7 years) and 602 CAH patients (mean age 35.4 years). All AD patients and 42% of CAH patients were prescribed glucocorticoids, most frequently hydrocortisone in AD (82%) and prednisolone in CAH (50%). AD and CAH patients exposed to glucocorticoids, but not CAH patients without glucocorticoid treatment, had a significantly increased risk of LRTIs (adjusted incidence rate ratio AD 2.11 [95% confidence interval (CI) 1.64-2.69], CAH 3.23 [95% CI 1.21-8.61]), UTIs (AD 1.51 [95% CI 1.29-1.77], CAH 2.20 [95% CI 1.43-3.34]), and GIIs (AD 3.80 [95% CI 2.99-4.84], CAH 1.93 [95% CI 1.06-3.52]). This was mirrored by increased prescription of antibiotics (AD 1.73 [95% CI 1.69-1.77], CAH 1.77 [95% CI 1.66-1.89]) and antifungals (AD 1.89 [95% CI 1.74-2.05], CAH 1.91 [95% CI 1.50-2.43]). CONCLUSIONS:There is an increased risk of infections and antimicrobial use in PAI in the primary care setting at least partially linked to glucocorticoid treatment. Future studies will need to address whether more physiological glucocorticoid replacement modes could reduce this risk.",doi:https://doi.org/10.1210/clinem/dgz006; html:https://europepmc.org/articles/PMC7046014
31558464,https://doi.org/10.1136/bmjopen-2019-033013,Long-term impact of giving antibiotics before skin incision versus after cord clamping on children born by caesarean section: protocol for a longitudinal study based on UK electronic health records,Long-term impact of giving antibiotics before skin incision versus after cord clamping on children born by caesarean section: protocol for a longitudinal study based on UK electronic health records.,"Šumilo D, Nirantharakumar K, Willis BH, Rudge G, Martin J, Gokhale K, Thayakaran R, Adderley NJ, Chandan JS, Okoth K, Hewston R, Skrybant M, Deeks JJ, Brocklehurst P.",,BMJ open,2019,Y,Child; Asthma; Caesarean section; Eczema; Antibiotic Prophylaxis; Immune System Diseases,,,"INTRODUCTION:In the UK, about a quarter of women give birth by caesarean section (CS) and are offered prophylactic broad-spectrum antibiotics to reduce the risk of maternal postpartum infection. In 2011, national guidance was changed from recommending antibiotics after the umbilical cord was cut to giving antibiotics prior to skin incision based on evidence that earlier administration reduces maternal infectious morbidity. Although antibiotics cross the placenta, there are no known short-term harms to the baby. This study aims to address the research gap on longer term impact of these antibiotics on child health. METHODS AND ANALYSIS:A controlled interrupted time series study will use anonymised mother-baby linked routine electronic health records for children born during 2006-2018 recorded in UK primary care (The Health Improvement Network, THIN and Clinical Practice Research Datalink, CPRD) and secondary care (Hospital Episode Statistics, HES) databases. The primary outcomes of interest are asthma and eczema, two common allergy-related diseases in childhood. In-utero exposure to antibiotics immediately prior to CS will be compared with no exposure when given after cord clamping. The risk of outcomes in children delivered by CS will also be compared with a control cohort delivered vaginally to account for time effects. We will use all available data from THIN, CPRD and HES with estimated power of 80% and 90% to detect relative increase in risk of asthma of 16% and 18%, respectively at the 5% significance level. ETHICS AND DISSEMINATION:Ethical approval has been obtained from the University of Birmingham Ethical Review Committee with scientific approvals obtained from the independent scientific advisory committees from the Medicines and Healthcare products Regulatory Agency for CPRD and the data provider, IQVIA for THIN. The results will be published in peer-reviewed journals, presented at national and international conferences and disseminated to stakeholders.",doi:https://doi.org/10.1136/bmjopen-2019-033013; html:https://europepmc.org/articles/PMC6773283; pdf:https://europepmc.org/articles/PMC6773283?pdf=render
31616478,https://doi.org/10.3389/fgene.2019.00922,Machine Learning Predicts Accurately Mycobacterium tuberculosis Drug Resistance From Whole Genome Sequencing Data,Machine Learning Predicts Accurately Mycobacterium tuberculosis Drug Resistance From Whole Genome Sequencing Data.,"Deelder W, Christakoudi S, Phelan J, Benavente ED, Campino S, McNerney R, Palla L, Clark TG.",,Frontiers in genetics,2019,Y,Mycobacterium tuberculosis; Drug resistance; Mdr-tb; Xdr-tb; Machine Learning,Applied Analytics,,"Background: Tuberculosis disease, caused by Mycobacterium tuberculosis, is a major public health problem. The emergence of M. tuberculosis strains resistant to existing treatments threatens to derail control efforts. Resistance is mainly conferred by mutations in genes coding for drug targets or converting enzymes, but our knowledge of these mutations is incomplete. Whole genome sequencing (WGS) is an increasingly common approach to rapidly characterize isolates and identify mutations predicting antimicrobial resistance and thereby providing a diagnostic tool to assist clinical decision making. Methods: We applied machine learning approaches to 16,688 M. tuberculosis isolates that have undergone WGS and laboratory drug-susceptibility testing (DST) across 14 antituberculosis drugs, with 22.5% of samples being multidrug resistant and 2.1% being extensively drug resistant. We used non-parametric classification-tree and gradient-boosted-tree models to predict drug resistance and uncover any associated novel putative mutations. We fitted separate models for each drug, with and without ""co-occurrent resistance"" markers known to be causing resistance to drugs other than the one of interest. Predictive performance was measured using sensitivity, specificity, and the area under the receiver operating characteristic curve, assuming DST results as the gold standard. Results: The predictive performance was highest for resistance to first-line drugs, amikacin, kanamycin, ciprofloxacin, moxifloxacin, and multidrug-resistant tuberculosis (area under the receiver operating characteristic curve above 96%), and lowest for third-line drugs such as D-cycloserine and Para-aminosalisylic acid (area under the curve below 85%). The inclusion of co-occurrent resistance markers led to improved performance for some drugs and superior results when compared to similar models in other large-scale studies, which had smaller sample sizes. Overall, the gradient-boosted-tree models performed better than the classification-tree models. The mutation-rank analysis detected no new single nucleotide polymorphisms linked to drug resistance. Discordance between DST and genotypically inferred resistance may be explained by DST errors, novel rare mutations, hetero-resistance, and nongenomic drivers such as efflux-pump upregulation. Conclusion: Our work demonstrates the utility of machine learning as a flexible approach to drug resistance prediction that is able to accommodate a much larger number of predictors and to summarize their predictive ability, thus assisting clinical decision making and single nucleotide polymorphism detection in an era of increasing WGS data generation.",doi:https://doi.org/10.3389/fgene.2019.00922; html:https://europepmc.org/articles/PMC6775242; pdf:https://europepmc.org/articles/PMC6775242?pdf=render
